Sl No,Level,Country,Number of Vote,Date of Votes,eng,ger,fre,ita,spa,por,jpn,chi,rus,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
346,Country,Switzerland,252,07/12/1975,Constitutional amendment on freedom of residence and social security assistance,Bundesbeschluss vom 13.12.1974 über eine Aenderung der Bundesverfassung (Niederlassungsfreiheit und Unterstützungsregelung),Arrêté fédéral modifiant la constitution (liberté d'établissement et réglementation de l'assistance),Decreto federala del 13.12.1974 che modifica la Costituzione federale (libertà di domicilio e disciplinamento dell'assistenza),,,,,,148,0,,32,0,,None,3737823,0,1155136,39934,474,842165,271563,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Fundamental rights | Welfare | Division of tasks,30.89,1113728,75.62,24.38,yes,
347,Country,Switzerland,253,07/12/1975,Constitutional amendment on water resources,Bundesbeschluss vom 20.06.1975 betreffend Aenderung der Bundesverfassung im Gebiete der Wasserwirtschaft,Arrêté fédéral concernant une revision de la constitution dans le domaine de l'économie des eaux,Decreto federale del 20.06.1975 concernente una modificazione della Costituzione nel campo dell'economia idrica,,,,,,152,0,,33,0,,None,3737823,0,1156219,46897,1559,858720,249043,21,1,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Water pollution control | Hydro-electric power | Division of tasks,30.93,1107763,77.52,22.48,yes,
348,Country,Switzerland,254,07/12/1975,Law on import and export of agricultural products,Bundesgesetz vom 13.12.1974 über die Ein- und Ausfuhr von Erzeugnissen aus Landwirtschaftsprodukten,Loi fédérale sur l'importation et l'exportation de produits agricoles transformés,Legge federale del 13.12.1974 su l'importazione e l'esportazione dei prodotti agrcoli trasformati,,,,,,124,7,,29,4,,None,3737823,0,1161817,31605,1575,587148,541489,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),67219,,,,Customs | Agricultural policy | none,31.22,1128637,52.02,47.98,yes,
349,Country,Switzerland,247,08/06/1975,Protection of the currency,Bundesbeschluss über den Schutz der Währung. Aenderung vom 28.06.1974,Arrêté fédéral sur la sauvegarde de la monnaie,Decreto federale per la protezione della moneta. Modificazione del 28.06.1974,,,,,,139,0,,32,0,,None,3719992,0,1369819,19737,1525,1153338,195219,22,,none,,,0,,0,Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis),0,,,,Monetary policy | none | none,36.81,1348557,85.52,14.48,yes,
350,Country,Switzerland,248,08/06/1975,Financing of national motorways,Bundesbeschluss über die Finanzierung der Nationalstrassen. Aenderung vom 04.10.1974,Arrêté fédéral concernant le financement des routes nationales,Decreto federale concernente il finanziamento delle strade nazionali. Modificazione del 04.10.1974,,,,,,134,17,,26,1,,None,3719992,0,1369318,18518,1507,721313,627980,,,none,,,0,,0,Optional Legislative Referendum (Federal Decrees),,,,,Budget cuts and remediation measures | Road construction | none,36.81,1349293,53.46,46.54,yes,
351,Country,Switzerland,249,08/06/1975,Law on change of general customs duty,Bundesgesetz vom 04.10.1974 über die Aenderung des Generalzolltarifs,Loi fédérale modifiant le tarif général des douanes,Decreto federale del 04.10.1974 che modifica la tariffa generale delle dogane,,,,,,111,39,,23,6,,None,3719992,0,1368532,26004,1589,646687,694252,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),100434,,,,Budget cuts and remediation measures | none | none,36.79,1340939,48.23,51.77,no,
352,Country,Switzerland,250,08/06/1975,Raising income from taxes from 1976,Bundesbeschluss vom 31.01.1975 betreffend Erhöhung der Steuereinnahmen ab 1976,Arrêté fédéral concernant l'augmentation des recettes fiscales dès 1976,Decreto federale del 31.01.1975 concernente l'aumento degli introiti fiscali a contare dal 1976,,,,,,142,9,,31,0,,None,3719992,0,1369699,21398,1618,753642,593041,17,5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Budget cuts and remediation measures | Tax policy | none,36.81,1346683,55.96,44.04,yes,
353,Country,Switzerland,251,08/06/1975,Tightening decisions on expenditure,Bundesbeschluss vom 31.01.1975 über die Erschwerung von Ausgabenbeschlüssen,Arrêté fédéral freinant les décisions en matière de dépenses,Decreto federale del 31.01.1975 che frena le decisioni in materia di spese,,,,,,117,16,,28,0,,None,3719992,0,1369259,22828,1605,1021315,323511,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Public expenditure | Legislative procedure | Parliament,36.81,1344826,75.94,24.06,yes,
354,Country,Switzerland,246,02/03/1975,Constitutional amendment on economic policy,Bundesbeschluss vom 04.10.1974 über den Konjunkturartikel der Bundesverfassung,Arrêté fédéral concernant l'article de la constitution sur la politique conjoncturelle,Decreto federale del 22.03.1974 concernente l'articolo costituzionale sulla politica congiunturale,,,,,,133,16,,24,3,,None,3717238,0,1054929,24892,1448,542745,485844,11,11,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Short-term economic policy | none | none,28.59,1028589,52.77,47.23,no,
355,Country,Switzerland,245,08/12/1974,"Counter-proposal to the people's initiative for a fair health insurance and amended health-, accident and maternity insurances",Gegenvorschlag zur Volksinitiative für die soziale Krankenversicherung und die Aenderung der Bundesverfassung auf dem Gebiet der Kranken-  Unfall- und Mutterschaftsversicherung,Contre-projet à l'initiative populaire fédérale «Pour une meilleure assurance-maladie et la revision de la constitution en matière d'assurance-maladie accidents et maternité»,,,,,,,93,15,,25,1,,None,3706105,0,1472162,19731,14094,457923,883179,,22,linked,Citizen's initiative for better health insurance and a revision of the Constitution in regard to health insurance  accidents and maternity,,0,,0,Constitutional Referendum (Counter-draft),88424,,Sozialdemokratische ParteiParti socialiste suisse,,Health and accident insurance | none | none,39.72,1438337,34.15,65.85,no,
356,Country,Switzerland,243,08/12/1974,Measures to boost the federal finances,Bundesbeschluss vom 04.10.1974 zur Verbesserung des Bundeshaushalts,Arrêté fédéral instituant des mesures propres à améliorer les finances fédérales,Decreto federale del 04.10.1974 per il miglioramento delle finanze federali,,,,,,145,5,,27,1,,None,3706105,0,1466781,54804,2303,625780,783894,4,18,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Tax policy | Budget cuts and remediation measures | none,39.58,1409674,44.39,55.61,no,
357,Country,Switzerland,244,08/12/1974,Tightening decision on public spending,Bundesbeschluss vom 04.10.1974 über die Erschwerung von Ausgabenbeschlüssen,Arrêté fédéral freinant les décisions en matière de dépenses,Decreto federale del 04.10.1974 che vincola le decisioni in materia di spese,,,,,,110,46,,19,7,,None,3706105,0,1465234,67782,2583,934633,460236,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Public expenditure | Legislative procedure | Parliament,39.54,1394869,67.01,32.99,yes,
358,Country,Switzerland,245,08/12/1974,"Fair health insurance and a reform of health-, accident and maternity insurance system",Bundesbeschluss vom 22.03.1974 über das Volksbegehren für die soziale Krankenversicherung und die Aenderung der Bundesverfassung auf dem Gebiet der Kranken-  Unfall- und Mutterschaftsversicherung,Arrêté fédéral concernant l'initiative populaire fédérale pour une meilleure assurance-maladie et le revision de la constitution en matière d'assurance-maladie accidents et maternité,Decreto federale del 22.03.1974 concernente l'iniziativa popolare per l'istituzione di un'assicurazione sociale contro le malattie e la modifica della Costituzione federale in materia d'assicurazione malattie infortuni e maternità,,,,,,15,93,,1,25,,None,3706105,0,1472162,19731,14094,384155,1010103,,22,linked,Counter proposal to the citizen's initiative for better health insurance and a revision of the Constitution in regard to health insurance  accidents and maternity,,0,,0,Initiative (Formulated Draft),88424,,Sozialdemokratische ParteiParti socialiste suisse,,Health and accident insurance | none | none,39.72,1438337,27.55,72.45,no,
359,Country,Switzerland,242,20/10/1974,"""Limiting the number of foreigners""",Volksbegehren gegen die Ueberfremdung und Uebervölkerung der Schweiz,Initiative populaire fédérale «Contre l'emprise étrangère et le surpeuplement de la Suisse»,Iniziativa popolare contro l'inforestierimento e la sovrappopulazione della Svizzera,,,,,,4,121,,0,31,,None,3702498,0,2604051,28338,5190,878891,1691632,,22,none,,,0,,0,Initiative (Formulated Draft),68362,,Nationale Aktion gegen die ÜberfremdungComite d'initiative de l'Action nationale contre l'emprise étrangère,,Immigration policy | none | none,70.33,2570523,34.19,65.81,no,
360,Country,Switzerland,237,02/12/1973,Measures to monitor prices,Bundesbeschluss vom 20.12.1972 betreffend Ueberwachung der Preise  Löhne und Gewinne,Arrêté fédéral sur la surveillance des prix des salaires et des bénéfices,Decreto federale del 20.12.1972 concernente la vigilanza su i prezzi i salari e i profitti,,,,,,109,7,,34,0,,None,3665107,0,1283799,25076,1701,751173,505843,20,2,none,,,0,,0,Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis),0,,,,Pricing policy | Employment policy | Short-term economic policy,35.02,1257016,59.76,40.24,yes,
361,Country,Switzerland,239,02/12/1973,Measures to stabilise the construction industry,Bundesbeschluss vom 20.12.1972 über Massnahmen zur Stabilisierung des Baumarktes,Arrêté fédéral concernant la stabilisation du marché de la construction,Decreto federale del 20.12.1972 sulla stabilizzazione del mercato edilizio,,,,,,127,5,,34,0,,None,3665107,0,1283243,28991,1745,881662,370843,20,2,none,,,0,,0,Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis),0,,,,Short-term economic policy | Structural policy | none,35,1252505,70.39,29.61,yes,
362,Country,Switzerland,238,02/12/1973,Measures in the banking sector (Credit control),Bundesbeschluss vom 20.12.1972 über Massnahmen auf dem Gebiete des Kreditwesens,Arrêté fédéral instituant des mesures dans le domaine du crédit,Decreto federale del 20.12.1972 su provvedimenti nel settore del credito,,,,,,133,1,,35,0,,None,3665107,0,1282565,36398,1811,810307,434045,18.5,3.5,none,,,0,,0,Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis),0,,,,"Short-term economic policy | Monetary policy | Banks, stock exchange, insurance",34.99,1244352,65.12,34.88,yes,
363,Country,Switzerland,240,02/12/1973,"Limitating tax depreciation on federal, cantonal and local income tax",Bundesbeschluss vom 20.12.1972 über die Einschränkung der steuerwirksamen Abschreibungen bei den Einkommenssteuern von Bund  Kantonen und Gemeinden,"Arrêté fédéral limitant les amortissements admissibles pour les impôts sur le revenu perçus par la Confédération, les cantons et les communes",Decreto federale del 20.12.1972 che limita gli ammortamenti fiscalmente ammissibili per le imposte sul reddito federali cantonali e comunali,,,,,,143,0,,34,0,,None,3665107,0,1280985,52321,1918,834792,391956,19.5,2.5,none,,,0,,0,Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis),0,,,,Tax policy | Short-term economic policy | none,34.95,1226748,68.05,31.95,yes,
364,Country,Switzerland,241,02/12/1973,Replacing article 25 of the constitution by an article on animal protection,Bundesbeschluss vom 27.06.1973 über einen Tierschutzartikel anstelle des bisherigen Artikels 25bis der Bundesverfassung,Arrêté fédéral concernant un article sur la protection des animaux qui remplace l'article 25bis actuel de la constitution fédérale,Decreto federale del 27.06.1973 concernente un articolo sulla protezione degli animali in luogo del vigente articolo 25bis della Costituzione federale,,,,,,139,0,,33,0,,None,3665107,0,1282410,39855,1959,1041504,199090,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Animal protection | Livestock | none,34.99,1240594,83.95,16.05,yes,
365,Country,Switzerland,236,20/05/1973,Repeal of articles 51 and 52 of the constitution concerning Jesuits and monasteries,Bundesbeschluss vom 06.10.1972 über die Aufhebung des Jesuiten- und des Klosterartikels der Bundesverfassung (Art. 51 und 52),Arrêté fédéral abrogeant les articles de la constitution fédérale sur les jésuites et les couvents,Decreto federale del 06.10.1972 che abroga gli articoli della Costituzione federale sui gesuiti e i conventi (art. 51 e 52),,,,,,143,4,,25,0,,None,3642756,0,1467494,25051,2443,791076,648924,16.5,5.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Religion - churches | none | none,40.29,1440000,54.94,45.06,yes,
366,Country,Switzerland,234,04/03/1973,Constitutional amendment on education,Bundesbeschluss vom 06.10.1972 über die Aenderung der Bundesverfassung betreffend das Bildungswesen,Arrêté fédéral modifiant les articles de la constitution sur l'enseignement,Decreto federale del 06.10.1972 che modifica le norme della Costituzione sull'istruzione,,,,,,132,8,,20,4,,None,3633517,0,999302,35349,2111,507414,454428,10.5,11.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Schools | Fundamental rights | Division of tasks,27.5,961842,52.75,47.25,no,
367,Country,Switzerland,235,04/03/1973,Promotion of scientific research,Bundesbeschluss vom 06.10.1972 über die Ergänzung der Bundesverfassung betreffend die Förderung der wissenschaftlichen Forschung,Arrêté fédéral complétant la constitution par un article sur l'encouragement de la recherche scientifique,Decreto federale del 06.10.1972 che completa la Costituzione con un articolo sul promovimento della ricerca scientifica,,,,,,153,0,,26,0,,None,3633517,0,999497,39922,2090,617628,339857,19,3,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Research | Universities | none,27.51,957485,64.51,35.49,yes,
368,Country,Switzerland,232,03/12/1972,"Counter-proposal to the people's initiative ""For a real old age and sickness pension""",Gegenvorschlag zur eidgenössischen Volksinitiative zur Einführung einer Volkspension,"Contre-projet à l'initiative populaire fédérale «Pour une véritable retraite populaire» (Révision de la constitution en matière de prévoyance-vieillesse, survivants et invalidité)",,,,,,,132,7,,30,0,,None,3628891,0,1921226,20837,15614,1393797,418018,22,,linked,Citizen's initiative for a real old age and sickness pension and amendment to the Federal Constitution on disability  old age-  widows- and orphans insurance,,0,,0,Constitutional Referendum (Counter-draft),58085,,Partei der ArbeitParti Suisse du travail,,Pension insurance | Occupational benefits provision | none,52.93,1884775,76.93,23.07,yes,yes
369,Country,Switzerland,232,03/12/1972,"For a real old age and sickness pension and constitutional amendment on disability, old age-, widows- and orphans insurance",Bundesbeschluss vom 30.06.1972 betreffend das Volksbegehren für eine wirkliche Volkspension und die Aenderung der Bundesverfassung auf dem Gebiete der Alters-  Hinterlassenen- und Invalidenvorsorge,"Arrêté fédéral concernant l'initiative populaire pour une véritable retraite populaire et la révision de la constitution en matière de prévoyance-vieillesse, survivants et invalidité",Decreto federale del 30.06.1972 concernente l'iniziativa popolare 'Per vere pensioni popolari' e la revisione della Costituzione federale in materia di previdenza per la vecchiaia i superstiti e l'invalidità,,,,,,7,132,,0,30,,None,3628891,0,1921226,20837,15614,294511,1481488,,22,linked,"Counter proposal to the citizen's initiative ""For a real old age and sickness pension"" (amendment to the Federal Constitution on disability  old age-  widows- and orphans insurance)",,0,,0,Initiative (Formulated Draft),58085,,Partei der ArbeitParti Suisse du travail,,Pension insurance | Occupational benefits provision | none,52.93,1884775,16.58,83.42,no,
370,Country,Switzerland,233,03/12/1972,Agreement between the Switzerland and the EEC and member states of the EC on coal and steel,Bundesbeschluss vom 03.10.1972 über die Abkommen zwischen der Schweizerischen Eidgenossenschaft und der Europäischen Wirtschaftsgemeinschaft sowie den Mitgliedstaaten der Europäischen Gemeinschaft für Kohle und Stahl,Arrêté fédéral concernant les Accords entre la Confédération suisse et la Communauté économique européenne ainsi que les Etats membres de la Communauté européenne du charbon et de l'acier,,,,,,,108,38,,21,14,,None,3628891,0,1920153,62125,3569,1344994,509465,22,,none,,,,,,Customary Mandatory Treaty Referendum (Extraordinary),0,,,,EU | Customs | Economic policy,52.91,1854459,72.53,27.47,,
371,Country,Switzerland,231,24/09/1972,"""Stricter control of armament industry and ban on arms exports""",Volksbegehren betreffend vermehrte Rüstungskontrolle und ein Waffenausfuhrverbot,Initiative populaire fédérale «Pour un contrôle renforcé des industries d'armement et l'interdiction d'exportation d'armes»,Iniziativa popolare per un controllo rinforzato dell'industria d'armamento ed il divieto d'esportazioni d'armi,,,,,,15,123,,0,31,,None,3620937,0,1198239,18598,1762,585046,592833,7,15,none,,,0,,0,Initiative (Formulated Draft),53457,,Initiativkomitee für vermehrte Rüstungskontrolle und ein WaffenausfuhrverbotComité d'initiative pour un contrôle renforcé des industries d'armement et pour l'interdiction d'exportation d'armes,,Arms | Foreign trade policy | none,33.34,1177879,49.67,50.33,no,
372,Country,Switzerland,229,04/06/1972,Measures to stabilise the building industry,Bundesbeschluss vom 25.06.1971 über Massnahmen zur Stabilisierung des Baumarktes,Arrêté fédéral concernant la stabilisation du marché de la construction,Decreto federale del 25.06.1971 sulla stabilizzazione del mercato edilizio,,,,,,111,21,,32,1,,None,3604099,0,963855,33453,781,774794,154827,22,,none,,,0,,0,Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis),0,,,,Structural policy | none | none,26.73,929621,83.35,16.65,yes,
373,Country,Switzerland,230,04/06/1972,Protection of Swiss currency,Bundesbeschluss vom 08.10.1971 über den Schutz der Währung,Arrêté fédéral sur la sauvegarde de la monnaie,Decreto federale dell'08.10.1971 per la protezione della moneta,,,,,,132,2,,37,0,,None,3604099,0,963187,40014,1035,808974,113164,22,,none,,,0,,0,Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis),0,,,,Monetary policy | none | none,26.71,922138,87.73,12.27,yes,
374,Country,Switzerland,227,05/03/1972,"Counter-proposal to the people's initiative ""Right to housing and better protection of families""",Gegenvorschlag zur eidgenössischen Volksinitiative zur Förderung des Wohnungsbaues,Contre-projet à l'initiative populaire fédérale «n vue de la création d'un fonds pour la construction de logements (initiative Denner) [Insertion d'un art. 34sexies],,,,,,,131,0,,38,0,,None,3600759,0,1285893,26974,14427,727629,432872,21,1,linked,"Citizen's initiative ""Promotion of housing construction""",,0,,0,Constitutional Referendum (Counter-draft),59003,,Firma Denner AGMaison Denner S.A,,"Building of residential housing, property ownership | none | none",35.7,1244492,62.7,37.3,yes,yes
375,Country,Switzerland,227,05/03/1972,"""Right to housing and better protection of families""",Bundesbeschluss vom 17.12.1971 betreffend die Ergänzung der Bundesverfassung durch einen Artikel 34sexies über den Wohnungsbau und betreffend das Volksbegehren zur Bildung eines Wohnbaufonds (Denner-Initiative),Arrêté fédéral portant insertion dans la constitution fédérale d'un article 34sexies sur la construction de logements et concernant l'initiative populaire fédérales «En vue de la création d'un fonds pour la construction de logements» (initiative Denner),Decreto federale del 17.12.1971 concernente l'inserzione nella Costituzione federale d'un nuovo articolo 34sexies sulla costruzione di alloggi nonchè l'iniziativa popolare per l'istituzione di un fondo nazionale per la costruzione di alloggi (Iniziativa Denner),,,,,,0,131,,0,38,,None,3600759,0,1285893,26974,14427,360262,835315,,22,linked,"Counter proposal to the citizen's initiative ""Promotion of housing construction""",,0,,0,Initiative (Formulated Draft),59003,,Firma Denner AGMaison Denner S.A,,"Building of residential housing, property ownership | none | none",35.7,1244492,30.13,69.87,no,
376,Country,Switzerland,228,05/03/1972,Constitutional amendment on leasing contracts and measures to protect tenants,Bundesbeschluss vom 17.12.1971 betreffend die Ergänzung der Bundesverfassung durch einen Artikel 34septies über die Allgemeinverbindlicherklärung von Mietverträgen und Massnahmen zum Schutze der Mieter,Arrêté fédéral portant insertion dans la constitution fédérale d'un article 34septies sur la déclaration de force obligatoire générale de baux à loyer et sur des mesures en vue de la protection des locataires,Decreto federale del 17.12.1971 concernente l'inserzione nella Costituzione federale d'un nuovo articolo 34septies sul conferimento dell'obbligatorietà generale a contratti di locazione e sulle misure a tutela dei locatari,,,,,,138,8,,38,0,,None,3600759,0,1285714,44788,1959,1057322,180795,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Tenancy issues | none | none,35.7,1238117,85.4,14.6,yes,
377,Country,Switzerland,225,06/06/1971,Constitutional amendment on protecting people and the natural environment from harmful impact,Bundesbeschluss vom 18.12.1970 über die Ergänzung der Bundesverfassung durch einen Artikel 24septies betreffend den Schutz des Menschen und seiner natürlichen Umwelt gegen schädliche oder lästige Einwirkungen,Arrêté fédéral insérant dans la constitution fédérale un article 24septies sur la protection de l'homme et son milieu naturel contre les atteintes nuisibles ou incommodantes,Decreto federale del 18.12.1970 per l'inserimento nella Costituzione federale di un articolo 24septies concernente la protezione dell'uomo e del suo ambiente naturale dagli agenti dannosi e molesti,,,,,,,,,,,,None,3565435,0,1349608,28252,2066,1222931,96359,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Environmental policy | none | none,37.84,1319290,92.7,7.3,yes,
378,Country,Switzerland,226,06/06/1971,Extension of measures on federal finances,Bundesbeschluss vom 11.03.1971 über die Weiterführung der Finanzordnung des Bundes,Arrêté fédéral concernant la prorogation du régime financier de la Confédération,Decreto federale dell'11.03.1971 sulla proroga dell'ordinamento delle finanze federali,,,,,,125,20,,36,0,,None,3565435,0,1346363,64306,2477,930878,348702,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Financial system | Tax system | none,37.75,1279583,72.75,27.25,yes,
379,Country,Switzerland,224,07/02/1971,Introduction of women's suffrage at the nationwide level,Bundesbeschluss vom 09.10.1970 über die Einführung des Frauenstimm- und Wahlrechts in eidgenössischen Angelegenheiten,Arrêté fédéral sur l'institution du suffrage féminin en matière fédérale,Decreto federale del 09.10.1970 concernente l'istituzione del diritto elettorale e di voto della donna in materia federale,,,,,,,,,,,,None,1654708,0,955321,8600,1730,621109,323882,15.5,6.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Voting rights | Status of women | Fundamental rights,57.72,944991,65.73,34.27,yes,
380,Country,Switzerland,223,15/11/1970,Reform of the financial regulations,Bundesbeschluss vom 24.06.1970 über die Aenderung der Finanzordnung des Bundes,Arrêté fédéral modifiant le régime des finances fédérales,Decreto federale vom 24.06.1970 che modifica l'ordinamento delle finanze federali,,,,,,,,,,,,None,1665753,0,682095,19658,1355,366117,294965,9,13,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Financial system | Tax system | none,41.38,661082,55.38,44.62,no,
381,Country,Switzerland,221,27/09/1970,Federal decree on supplementing the federal constitution by an article 27 on promotion of sport and gymnastics,Bundesbeschluss vom 18.03.1970 über die Ergänzung der Bundesverfassung durch einen Artikel 27quinquies betreffend die Förderung von Turnen und Sport,Arrêté fédéral insérant dans la constitution fédéral un article 27quinquies sur l'encouragement de la gymnastique et des sports,Decreto federale del 18.03.1970 per l'inserimento nella Costituzione federale d'un articolo 27quinquies sul promovimento della ginnastica e dello sport,,,,,,,,,,,,None,1648062,0,721383,17658,1081,524361,178283,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Schools | Electoral system | none,43.77,702644,74.63,25.37,yes,
382,Country,Switzerland,222,27/09/1970,"""Right to housing and better protection of families""",Volksbegehren für das Recht auf Wohnung und den Ausbau des Familienschutzes,Initiative populaire fédérales «Pour le droit au logement et le développement de la protection de la famille»,Iniziativa per il diritto all'abitazione e la protezione della famiglia,,,,,,,,,,,,None,1648062,0,722070,16420,1192,344640,359818,8,14,none,,,0,,0,Initiative (Formulated Draft),83526,,Aktionskomitee Lausanne,,Tenancy issues | Family policy | Fundamental rights,43.81,704458,48.92,51.08,no,
383,Country,Switzerland,220,07/06/1970,"""Limiting the number of foreigners (Over-foreignisation)""",Volksbegehren gegen die Ueberfremdung,Initiative populaire fédérale «Contre l'emprise étrangère»,Iniziativa popolare contro l'inforestierimento,,,,,,,,,,,,None,1641777,0,1226658,11740,2557,557517,654844,7,15,none,,,0,,0,Initiative (Formulated Draft),70292,,Nationale Aktion,,Immigration policy | Employment policy | none,74.72,1212361,45.99,54.01,no,
384,Country,Switzerland,219,01/02/1970,Domestic sugar production,Bundesbeschluss vom 27.06.1969 über die inländische Zuckerwirtschaft,Arrêté fédéral sur l'économie sucrière indigène,Decreto federale del 27.06.1969 sull'economia zuccheriera indigena,,,,,,,,,,,,None,1634975,0,715486,13615,1195,380023,320653,,,none,,,0,,0,Optional Legislative Referendum (Federal Decrees),56498,,,,Crop production | none | none,43.75,700676,54.24,45.76,yes,
385,Country,Switzerland,218,14/09/1969,Constitutional amendment on property laws,Bundesbeschluss vom 21.03.1969 über die Ergänzung der Bundesverfassung durch die Artikel 22ter und 22quater (Verfassungsrechtliche Ordnung des Bodenrechts),Arrêté fédéral complétant la constitution par des articles 22ter et 22quater (Dispositions constitutionnelles sur le droit foncier),Decreto federale del 21.03.1969 sull'inserimento nella Costituzione federale degli articoli 22ter e 22quater (Ordinamento costuzionale del diritto fondiario),,,,,,,,,,,,None,1626593,0,535830,22977,1035,286282,225536,19.5,2.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Land law | none | none,32.93,511818,55.93,44.07,yes,
386,Country,Switzerland,217,01/06/1969,Law on Federal Institutes of Technology,Bundesgesetz vom 04.10.1968 über die Eidgenössischen Technischen Hochschulen,Loi fédérale sur les écoles polytechniques fédérales,Legge federale del 04.10.1968 sulle scuole politecniche federali,,,,,,,,,,,,None,1623226,0,550592,28246,1033,179765,341548,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),44978,,,,Universities | Research | none,33.91,521313,34.48,65.52,no,
387,Country,Switzerland,216,19/05/1968,Law on tobacco tax,Bundesgesetz vom 05.10.1967 über die Tabakbesteuerung,Loi fédérale sur l'imposition du tabac,Legge federale del 05.10.1967 sull'imposizione del tabacco,,,,,,,,,,,,None,1606731,0,593258,17815,833,277229,297381,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),55072,,,,Indirect taxation | none | none,36.91,574610,48.25,51.75,no,
388,Country,Switzerland,215,18/02/1968,General tax amnesty,Bundesbeschluss vom 05.10.1967 über den Erlass einer allgemeinen Steueramnestie,Arrêté fédéral concernant l'octroi d'une amnistie fiscale générale,Decreto federale del 05.10.1967 concernente un'amnistia fiscale generale,,,,,,,,,,,,None,1603763,0,670402,20158,2089,400900,247255,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Tax policy | none | none,41.79,648155,61.85,38.15,yes,
389,Country,Switzerland,214,02/07/1967,"""Against land speculation""",Volksbegehren gegen die Bodenspekulation,Initiative populaire fédérale «Contre la spéculation foncière»,Iniziativa contro la speculazione fondiaria,,,,,,,,,,,,None,1591621,0,604472,13062,1116,192991,397303,1,21,none,,,0,,0,Initiative (Formulated Draft),131152,,Sozialdemokratische ParteiParti socialiste suisse,,Land law | none | none,37.97,590294,32.69,67.31,no,
390,Country,Switzerland,212,16/10/1966,Constitutional amendment on Swiss living abroad,Bundesbeschluss vom 25.03.1966 über die Ergänzung der Bundesverfasssung durch einen Artikel 45bis über die Auslandschweizer,Arrêté fédéral introduisant dans la constitution un article 45bis relatif aux Suisse de l'étranger,Decreto federale del 25.03.1966 per un complemento della Costituzione federale con un articolo 45bis concernente gli Svizzeri dell'estero,,,,,,,,,,,,None,1580573,0,756585,33719,1163,491220,230483,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Swiss abroad | none | none,47.86,721703,68.06,31.94,yes,
391,Country,Switzerland,213,16/10/1966,"""Control alcoholism""",Volksbegehren zur Bekämpfung des Alkoholismus,Initiative populaire fédérale relative à la lutte contre l'alcoolisme,Iniziativa sulla lotta contro l'alcolismo,,,,,,,,,,,,None,1580573,0,759370,12697,1164,174242,571267,,,none,,,0,,0,Initiative (General Suggestion),51475,,Landesring der UnabhängigenAlliance des Indépendants,,Addictive substances | Indirect taxation | Pension insurance,48.04,745509,23.37,76.63,no,
