Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
89,Country,Switzerland,393,1993-06-06,Citizen's initiative for a Switzerland  without any new fighter planes,Eidgenössische Volksinitiative 'für eine Schweiz ohne neue Kampfflugzeuge',"Initiative populaire  ""pour une Suisse sans nouveaux avions de combat""",Iniziativa popolare 'per una Svizzera senza nuovi aviogetti da combattimento',53,117,,2,42,,None,4559258,42772,2534220,20077,3738,1074661,1435744,4,19,none,,,0,,0,Initiative (Formulated Draft),181707,,Gruppe für eine Schweiz ohne Armee (GSoA)Groupe pour une Suisse sans armée (GSsA),,Arms | none | none,55.58,2510405,42.81,57.19,no,
90,Country,Switzerland,391,1993-03-07,Citizen's initiative to abolish  experimentation on animals,Eidgenössische Volksinitiative 'zur Abschaffung der Tierversuche',Initiative populaire  ''pour l'abolition des expériences sur animaux'',Iniziativa popolare 'per l'abolizione della sperimentazione sugli animali',35,102,,0,45,,None,4551501,38962,2331753,40830,4832,634758,1651333,,23,none,,,0,,0,Initiative (Formulated Draft),134592,,Internationale Liga 'Ärzte für die Abschaffung der Tierversuche'Ligue internationale 'Médecins pour l'abolition de la vivisection',,Animal testing | Medical research and technology | Livestock,51.22,2286091,27.77,72.23,no,
91,Country,Switzerland,381,1992-05-17,"Citizen's initiative ""Save our lakes and  rivers""",Eidgenössische Volksinitiative 'zur Rettung unserer Gewässer',Initiative populaire  ''pour la sauvegarde de nos eaux'',Iniziativa popolare 'per la salvaguardia delle nostre acque',69,79,,6,37,,None,4516994,14361,1771722,31086,2566,644083,1093987,,23,none,,,0,,0,Initiative (Formulated Draft),176484,,,,Criminal law | Children and young people | Status of women,39.22,1738070,37.06,62.94,no,
92,Country,Switzerland,373,1992-02-16,Citizen's initiative for affordable  health insurance,Eidgenössische Volksinitiative 'für eine finanziell tragbare Krankenversicherung (Krankenkasseninitiative)',Initiative populaire  ''pour une assurance-maladie financièrement supportable (Initiative des caisses-maladie)'',Iniziativa popolare 'per un'assicurazione malattia finanziariamente sopportabile (iniziativa delle casse malati)',11,116,,3,37,,None,4515485,14131,2004983,31969,4469,772995,1195550,1,22,none,,,0,,0,Initiative (Formulated Draft),390273,,Konkordat der Schweizerischen KrankenkassenConcordat des caisses-maladie suisses,,Health and accident insurance | none | none,44.4,1968545,39.27,60.73,no,
93,Country,Switzerland,374,1992-02-16,"Citizen's initiative for a gradual but  drastic reduction in animal experiments  ""An end to animal experimentation!""",Eidgenössische Volksinitiative 'zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch!)',Initiative populaire  ''pour une réduction stricte et progressive des expériences sur les animaux  (Limitons strictement l'expérimentation animale!)'' ,Iniziativa popolare 'per la limitazione drastica e graduale degli esperimenti sugli animali (Via dagli esperimenti sugli animali)',35,92,,4,33,,None,4515485,14131,2009400,22854,4412,864898,1117236,3.5,19.5,none,,,0,,0,Initiative (Formulated Draft),130175,,Schweizer Tierschutz STSFédération suisse protectrice des animaux,,Animal testing | Medical research and technology | Livestock,44.5,1982134,43.63,56.37,no,
94,Country,Switzerland,370,1991-03-03,Citizen's initiative on promotion of  public transport,Volksinitiative 'zur Förderung des öffentlichen Verkehrs',Initiative populaire 'pour l'encouragement des transports publics',Iniziatiava popolare 'per il promovimento dei trasporti pubblici',48,97,,4,34,,None,4349841,12962,1358939,19406,2514,496645,840374,1.5,21.5,none,,,0,,0,Initiative (Formulated Draft),112318,,Landesring der UnabhängigenAlliance des Indépendants,,Transport policy | Environmental policy | none,31.23,1337019,37.15,62.85,no,
95,Country,Switzerland,365,1990-09-23,"Citizen's initiative ""Stop using nuclear  power""",Volksinitiative 'für den Ausstieg aus der Atomenergie',Initiative populaire 'pour un abandon progressif de l'énergie atomique',Iniziativa popolare 'Per un abbandono progressivo dell'energia nucleare',52,89,,5,39,,None,4345490,13807,1756258,21690,2540,816289,915739,7,16,none,,,0,,0,Initiative (Formulated Draft),105812,,,,Nuclear energy | Environmental policy | none,40.41,1732028,47.13,52.87,no,
96,Country,Switzerland,366,1990-09-23,"Citizen's initiative ""Moratorium on  nuclear power station construction""",Volksinitiative 'Stopp dem Atomkraftwerkbau (Moratorium)',Initiative populaire 'Halte à la construction de centrales nucléares (moratoire)',Iniziativa popolare 'Alt alla costruzione di centrali nucleari (moratoria)',59,85,,7,33,,None,4345490,13807,1757107,19374,2447,946077,789209,19.5,3.5,none,,,0,,0,Initiative (Formulated Draft),135321,,Nordwestschweizer Aktionskomitee gegen Atomkraftwerke (NWA),,Nuclear energy | Environmental policy | none,40.43,1735286,54.52,45.48,yes,
97,Country,Switzerland,359,1990-04-01,"Citizen's initiative ""No more concrete  - restriction on new road building!""",Volksinitiative 'Stopp dem Beton - für eine Begrenzung des Strassenbaus!',Initiative populaire 'Halte au bétonnage - pour une stabilisation du réseau routier',Iniziatiava popolare 'Alt al cemento - per una limitazione delle costruzioni stradali',29,102,,0,41,,None,4326360,12639,1779467,21580,2107,500605,1255175,,23,none,,,0,,0,Initiative (Formulated Draft),111277,,Initiativkomitee für die Initiative 'Stopp dem Beton - für eine Begrenzung des Strassenbaus!',,Road construction | Protection of nature and cultural heritage | none,41.13,1755780,28.51,71.49,no,
98,Country,Switzerland,360,1990-04-01,Citizen's initiative for a motorway-free  zone between Murten and Yverdon,Volksinitiative 'für eine autobahnfreie Landschaft zwischen Murten und Yverdon',Initiative populaire 'pour une région sans autoroute entre Morat et Yverdon',Iniziativa popolare 'Per un paesaggio senza autostrade tra  Morat e Yverdon',45,93,,5,38,,None,4326360,12639,1778140,28919,2248,571640,1175333,,23,none,,,0,,0,Initiative (Formulated Draft),138836,,Verkehrs-Club der Schweiz VCSAssociation suisse des transports,,Road construction | Protection of nature and cultural heritage | none,41.09,1746973,32.72,67.28,no,
99,Country,Switzerland,361,1990-04-01,Citizen's initiative for a motorway-free  district of Knonau,Volksinitiative 'für ein autobahnfreies Knonauer Amt',Initiative populaire 'pour un district du Knonau sans autoroute',Iniziativa popolare 'Per un Knonauer Amt senza autostrade',48,91,,5,38,,None,4326360,12639,1779664,32023,2610,547353,1197678,,23,none,,,0,,0,Initiative (Formulated Draft),134447,,Verkehrs-Club der Schweiz VCSAssociation suisse des transports,,Road construction | Protection of nature and cultural heritage | none,41.13,1745031,31.37,68.63,no,
100,Country,Switzerland,362,1990-04-01,Citizen's initiative for a motorway-free  zone between Biel and Solothurn/Zuchwil,Volksinitiative 'für eine autobahnfreie Aarelandschaft zwischen Biel und Solothurn/Zuchwil',Initiative populaire 'contre la construction d'une autoroute entre Bienne et Soleure / Zuchwil'',Iniziativa popolare 'Per un paesaggio senza autostrade nella regione dall'Aar tra Bienne e Soletta/Zuchwil',49,95,,5,38,,None,4326360,12639,1776601,34603,2333,592231,1147434,,23,none,,,0,,0,Initiative (Formulated Draft),133061,,Verkehrs-Club der Schweiz VCSAssociation suisse des transports,,Road construction | Protection of nature and cultural heritage | none,41.06,1739665,34.04,65.96,no,
101,Country,Switzerland,357,1989-11-26,Citizen's initiative for abolition of the  Swiss army and a comprehensive policy  for peace,Volksinitiative 'für eine Schweiz ohne Armee und für eine umfassende Friedenspolitik',Initiative populaire 'pour une Suisse sans armée et pour une politique globale de paix',Iniziativa popolare 'per una Svizzera senza esercito e per una politica globale di pace',12,134,,0,36,,None,4320988,12437,2989326,27617,4791,1052442,1904476,2,21,none,,,0,,0,Initiative (Formulated Draft),111300,,Gruppe für eine Schweiz ohne Armee GSoAGroupe pour une Suisse sans armée (GSsA),,Abolition of the armed forces | none | none,69.18,2956918,35.59,64.41,no,
102,Country,Switzerland,358,1989-11-26,Citizen's initiative for speed limits of  130 and 100 kph,Volksinitiative 'pro Tempo 130/100',Initiative populaire 'pro vitesse 130/100',Iniziativa popolare 'per velocità 130/100',19,121,,3,32,,None,4320988,12437,2987966,20165,4822,1126458,1836521,6,17,none,,,0,,0,Initiative (Formulated Draft),256207,,Initiativkomitee 'pro Tempo 130/100',,Road transport | Air quality control | none,69.15,2962979,38.02,61.98,no,
103,Country,Switzerland,356,1989-06-04,Citizen's initiative for ecological  farming - against animal factories (small  farmers initiative),Volksinitiative 'für ein naturnahes Bauern - gegen Tierfabriken (Kleinbauern-Initiative)',Initiative populaire 'pour une protection des exploitations paysannes et contre les fabriques d'animaux (Initiative en faveur des petits paysans)',Iniziativa popolare 'per la protezione delle aziende contadine e contro le fabbriche di animali (Iniziativa a favore dei piccoli contadini)',45,103,,4,35,,None,4304445,11293,1547257,29347,2445,741747,773718,8,15,none,,,0,,0,Initiative (Formulated Draft),126802,,Schweizerische Vereinigung zum Schutz der kleinen und mittleren BauernSchweizerische Vereinigung zum Schutz der kleinen und mittleren Bauern,,Agricultural policy | Environmental policy | none,35.95,1515465,48.95,51.05,no,
104,Country,Switzerland,353,1988-12-04,"Citizen's initiative ""Town and country  initiative against land speculation""",Stadt-Land-Initiative gegen die Bodenspekulation',Initiative populaire 'ville-campagne contre la spéculation foncière',,48,100,,2,37,,None,4285518,11615,2263924,31548,2273,686398,1543705,,23,none,,,,,,Initiative (Formulated Draft),112340,,Political parties of the left  Environmental organizations  Union des Producteurs Suisses  Fédération Suisse des locataires,,Land law | none | none,52.83,2230103,30.78,69.22,no,
105,Country,Switzerland,354,1988-12-04,"Citizen's initiative ""Reduction of working hours""",Volksinitiative 'zur Herabsetzung der Arbeitszeit',Initiative populaire 'pour la réduction de la durée du travail',Iniziativa popolare 'per la riduzione della durata del lavoro',48,104,,4,35,,None,4285518,11615,2265390,18677,1913,769264,1475536,2,21,none,,,0,,0,Initiative (Formulated Draft),158549,,Schweizerischer GewerkschaftsbundUnion syndicale suisse,,Working hours | none | none,52.86,2244800,34.27,65.73,no,
106,Country,Switzerland,355,1988-12-04,Citizen's initiative on immigration restrictions,Volksinitiative 'für die Begrenzung der Einwanderung',Initiative populaire 'pour la limitation de l'immigration',Iniziativa popolare 'per la limitazione delle immigrazioni',3,140,,0,36,,None,4285518,11615,2264316,23752,2143,732029,1506392,,23,none,,,0,,0,Initiative (Formulated Draft),112977,,Nationale Aktion für Volk und HeimatAction nationale,,Immigration policy | none | none,52.84,2238421,32.7,67.3,no,
107,Country,Switzerland,352,1988-06-12,Citizen's initiative on lowering  retirement age to 62 years for men and  60 years for women,Volksinitiative 'zur Herabsetzung des AHV-Rentenalters auf 62 Jahre für Männer und 60 Jahre für Frauen',Initiative populaire 'visant à abaisser à 62 ans pour les hommes et à 60  ans pour les femmes l'âge donnant droit à la rente AVS',Iniziativa popolare 'per la riduzione dell'età AVS a 62 anni per gli uomini e a 60 anni per le donne',32,102,,0,32,,None,4265677,11159,1793431,12892,2609,624390,1153540,2,21,none,,,0,,0,Initiative (Formulated Draft),116657,,Progressive Organisationen der Schweiz POCHOrganisations progessistes de Suisse (POCH),,Pension insurance | Status of women | none,42.04,1777930,35.12,64.88,no,
108,Country,Switzerland,349,1987-12-06,Citizen's initiative for the protection of moorland (Rothenthurm initiative),Volksinitiative 'zum Schutz der Moore - Rothenthurm-Initiative',Initiative populaire 'pour la protection des marais - Initiative de Rothenthurm',,53,101,,2,36,,None,4251027,10853,2026330,26139,3188,1153448,843555,20,3,none,,,,,,Initiative (Formulated Draft),160293,,WWF Switzerland and Rothenthurm Farmers,,Military facilities | Protection of nature and cultural heritage | none,47.67,1997003,57.76,42.24,yes,
109,Country,Switzerland,346,1987-04-05,"Citizen's initiative ""Right to referendum  on all military expenditure (arms  referendum)""",Volksinitiative 'für die Mitsprache des Volkes bei Militärausgaben (Rüstungsreferendum)',Initiative populaire 'demandant le droit de référendum en matière de dépenses militaires',Iniziativa popolare 'per la consultazione del popolo in materia di spese militari (referendum sulle spese militari)',30,96,,2,37,,None,4223673,10879,1791628,28080,2702,714209,1046637,2.5,20.5,none,,,0,,0,Initiative (Formulated Draft),111126,,Sozialdemokratische Partei der SchweizParti socialiste suisse,,Arms | Referendum | none,42.41,1760846,40.56,59.44,no,
110,Country,Switzerland,343,1986-12-07,"Citizen's initiative ""Fair taxation of heavy trucks""",Volksinitiative 'für eine gerechte Belastung des Schwerverkehrs (Schwerverkehrsabgabe)',Initiative populaire 'pour une juste imposition du trafic des poids lourds (redevance sur les poids lourds)',Iniziativa popolare 'per una giusta imposizione del traffico pesante (tassa sul traffico pesante)',51,90,,4,28,,None,4210819,10643,1462909,26325,2042,485930,948612,,23,none,,,0,,0,Initiative (Formulated Draft),105352,,Verkehrs-Clubs der Schweiz VCSAssociation suisse des transports AST,,Heavy traffic | Indirect taxation | Environmental policy,34.74,1434542,33.87,66.13,no,
111,Country,Switzerland,339,1986-09-28,"Citizen's initiative ""Culture initiative""",Bundesbeschluss vom 20.12.1985 über die 'Eidgenössische Kulturinitiative',Arrêté fédéral du 20.12.1985 relatif à l'initiative populaire 'en faveur de la culture',Decreto federale del 20.12.1985 concernente l'iniziativa federale 'per la cultura',20,137,,8,35,,None,4202989,10484,1460318,53658,12089,232326,1048679,,23,linked,"Counter proposal to the citizen's initiative ""culture initiative""",113566,0,,0,Initiative (Formulated Draft),122277,,Comité d'initiative en faveur de la culture,,Cultural policy | Division of tasks | none,34.74,1394571,18.14,81.86,no,
112,Country,Switzerland,340,1986-09-28,Citizen's initiative for guaranteed  vocational training and retraining,Volksinitiative 'für eine gesicherte Berufsbildung und Umschulung',Initiative populaire 'pour une formation professionnelle et un recyclage garantis',Iniziativa popolare 'per una formazione e una riqualificazione professionali assicurate',7,117,,0,41,,None,4202989,10484,1463399,37216,2186,261759,1162238,,23,none,,,0,,0,Initiative (Formulated Draft),106593,,Aktionskomitee für eine gesicherte Berufsbildung und UmschulungComité pour une formation professionnelle et un recyclage garantis,,Professional and vocational education | none | none,34.81,1423997,18.38,81.62,no,
113,Country,Switzerland,337,1985-12-01,"Citizen's initiative ""Abolition of vivisection""",Volksinitiative 'für die Abschaffung der Vivisektion',Initiative populaire 'pour la suppression de la vivisection',Iniziativa popolare 'per la soppressione della vivisezione',10,130,,0,35,,None,4166145,9789,1582278,21117,2681,459358,1099122,,23,none,,,0,,0,Initiative (Formulated Draft),151065,,Helvetia NostraHelvetia Nostra,,Animal testing | Livestock | Medical research and technology,37.97,1558480,29.47,70.53,no,
114,Country,Switzerland,330,1985-06-09,"Citizen's initiative ""Right to life""",Volksinitiative 'Recht auf Leben',Initiative populaire 'pour le droit à la vie',Iniziativa popolare 'diritto alla vita',49,98,,17,21,,None,4144413,9479,1480472,31856,1523,448016,999077,5.5,17.5,none,,,0,,0,Initiative (Formulated Draft),227472,,Initiativkomitee Recht auf LebenComité d'initiative pour le droit à la vie,,Fundamental rights | Status of women | Criminal law,35.72,1447093,30.96,69.04,no,
115,Country,Switzerland,329,1985-03-10,"Citizen's initiative ""Lengthening paid holidays""",Volksinitiative 'für eine Verlängerung der bezahlten Ferien' (Ferien-Initiative),Initiative populaire 'pour une extension de la durée des vacances payées' (Initiative sur les vacances),Iniziativa popolare 'per il prolungamento delle vacanze pagate' (Iniziativa sulle vacanze),55,106,,6,30,,None,4134052,9467,1430370,19961,1729,489952,918728,2,21,none,,,0,,0,Initiative (Formulated Draft),122888,,Schweizerischer GewerkschaftsbundUnion syndicale suisse,,Working hours | none | none,34.97,1408680,34.78,65.22,no,
116,Country,Switzerland,323,1984-12-02,"Citizen's initiative ""Effective protection of motherhood""",Volksinitiative 'für einen wirksamen Schutz der Mutterschaft',Initiative populaire 'pour une protection efficace de la maternité',Iniziativa popolare 'per un'efficace protezione della maternità',44,118,,6,29,,None,4123179,9341,1552010,19166,2428,241442,1288974,,23,none,,,0,,0,Initiative (Formulated Draft),135849,,Initiativkomitee für einen wirksamen Schutz der MutterschaftComité d'initiative pour une protection efficace de la maternité,,Maternity insurance | Status of women | none,37.63,1530416,15.78,84.22,no,
117,Country,Switzerland,321,1984-09-23,"Citizen's initiative ""For a future without new nuclear power plants""",Volksinitiative 'für eine Zukunft ohne weitere Atomkraftwerke',Initiative populaire 'pour un avenir sans nouvelles centrales atomiques',Iniziativa popolare 'per un futoro senza nuove centrali nucleari',48,97,,7,24,,None,4113911,9358,1713477,17992,1448,762792,931245,6,17,none,,,0,,0,Initiative (Formulated Draft),137453,,Schweizerische Energie-StiftungFondation Suisse pour l'Energie,,Nuclear energy | Environmental policy | none,41.65,1694037,45.03,54.97,no,
118,Country,Switzerland,322,1984-09-23,"Citizen's initiative ""For a safe  economic and environmentally friendly energy policy""",Volksinitiative 'für eine sichere  sparsame und umweltgerechte Energieversorgung',Initiative populaire 'pour un approvisionnement en énergie sûr  économique et respecteux de l'environnement',Iniziativa popolare 'per un approvvigionamento energetico sicuro  economico ed ecologico',49,95,,7,24,,None,4113911,9358,1712397,20212,1502,773767,916916,6,17,none,,,0,,0,Initiative (Formulated Draft),115191,,Schweizerische Energie-StiftungFondation Suisse pour l'Energie,,Energy policy | Environmental policy | none,41.61,1690683,45.77,54.23,no,
119,Country,Switzerland,319,1984-05-20,"Citizen's initiative ""Against abuse of banking secrecy and banking power""",Volksinitiative 'gegen den Missbrauch des Bankgeheimnisses und der Bankenmacht',Initiative populaire 'contre l'abus du secret bancaire et de la puissance des banques',Iniziativa popolare 'contro l'abuso del segreto bancario e la potenza delle banche',51,111,,6,31,,None,4097762,9290,1742351,16954,1796,464637,1258964,,23,none,,,0,,0,Initiative (Formulated Draft),121882,,Sozialdemokratische Partei der SchweizParti socialiste suisse,,"Banks, stock exchange, insurance | Tax policy | none",42.52,1723601,26.96,73.04,no,
120,Country,Switzerland,320,1984-05-20,"Citizen's initiative ""Against the selling of land to foreigners""",Volksinitiative 'gegen den Ausverkauf der Heimat',Initiative populaire 'contre le bradage du sol national',Iniziativa popolare 'contro la svendita del territorio',5,124,,0,37,,None,4097762,9290,1740736,25824,1961,837987,874964,8.5,14.5,none,,,0,,0,Initiative (Formulated Draft),108210,,Nationale AktionAction nationale,,Land law | Immigration policy | none,42.47,1712951,48.92,51.08,no,
121,Country,Switzerland,318,1984-02-26,"Citizen's initiative ""For a genuine community service based on actual evidence of social engagement""",Volksinitiative 'für einen echten Zivildienst auf der Grundlage des Tatbeweises',Initiative populaire 'pour un authentique service civil fondé sur la preuve par l'acte',Iniziativa popolare 'per un vero servizio civile basato sulla prova del fatto',50,106,,7,30,,None,4087715,9070,2156780,21464,2421,771413,1361482,1.5,21.5,none,,,0,,0,Initiative (Formulated Draft),113045,,Initiativkomitee für einen echten ZivildienstComité d'initiative pour un authentique service civil,,"Conscientious objection, Civilian service | none | none",52.75,2132895,36.17,63.83,no,
122,Country,Switzerland,311,1982-11-28,"Citizen's initiative ""Prevention of false pricing""",Bundesbeschluss vom 19.03.1982 über die Volksinitiative 'zur Verhinderung missbräuchlicher Preise',Arrêté fédéral du 19.03.1982 concernant l'initiative populaire 'tendant à empêcher des abus dans la formation des prix',Decreto federale del 19.03.1982 concernente l'iniziativa popolare 'contro i prezzi abusivi',82,83,,11,24,,None,4023726,6645,1324471,12586,9698,730938,530498,17,6,linked,"Counter proposal to the citizen's initiative ""Prevention of false pricing""",40751,0,,0,Initiative (Formulated Draft),133082,,Konsumentinnenforum der deutschen Schweiz und des Kantons TessinKonsumentinnenforum der deutschen Schweiz und des Kantons Tessin,Solothurn hielt leere Stimmzettel und solche  die eine der beiden Fragen nicht beantworteten  irrtümlich nicht auseinander. Solothurn did not distinguish between blank voting papers and those where only one of the two questions were answered.,Pricing policy | Consumer protection | none,32.91,1302187,57.94,42.06,yes,yes
123,Country,Switzerland,305,1981-04-05,"Citizen's initiative ""New  friendlier policy towards foreign residents""",Mitenand-Initiative für eine neue Ausländerpolitik',Initiative populaire  'Être solidaires en faveur d'une nouvelle politique à l'égard des étrangers',Iniziativa popolare 'Essere solidali  per una nuova politica degli stranieri',31,112,,8,31,,None,3947890,6329,1574500,15524,2292,252531,1304153,,23,none,,,0,,0,Initiative (Formulated Draft),55954,,Arbeitsgemeinschaft für eine neue AusländerpolitikCommunauté de travail en faveur d'une nouvelle politique à l'égard des étrangers,,Immigration policy | Employment policy | none,39.88,1556684,16.22,83.78,no,
124,Country,Switzerland,299,1980-03-02,"Citizen's initiative ""Complete separation of church and state""",Volksinitiative 'betreffend die vollständige Trennung von Staat und Kirche',Initiative populaire 'concernant la séparation complète de l'Etat et de l'Eglise',Iniziativa popolare 'per la separazione completa dello Stato e della Chiesa',3,127,,0,35,,None,3907773,4894,1354703,18661,1992,281475,1052575,,23,none,,,0,,0,Initiative (Formulated Draft),61560,,Schweizerisches Aktionskomitee für die Trennung von Staat und KircheComité suisse pour la séparation de l'Etat de de l'Eglise,,Religion - churches | Intergovernmental relations | Tax policy,34.66,1334050,21.1,78.9,no,
125,Country,Switzerland,295,1979-02-18,"Citizen's initiative ""Ban liquor and tobacco advertising""",Volksinitiative 'gegen Suchtmittelreklame',Initiative populaire 'contre la publicité pour des produits qui engendrent la dépendance',Iniziativa popolare 'contro la pubblicità in favore dei prodotti che generano dipendenza',49,89,,4,29,,None,3867603,5196,1916545,26247,1697,773485,1115116,0.5,22.5,none,,,0,,0,Initiative (Formulated Draft),77515,,Sekretariat der Schweizer Guttempler JugendSecretariat des Jeunes Bons-Templiers Suisses,,Addictive substances | none | none,49.54,1888601,40.96,59.04,no,
126,Country,Switzerland,296,1979-02-18,"Citizen's initiative ""Maintaining and protecting the people's rights and security when building and operating nuclear plants""",Volksinitiative 'zur Wahrung der Volksrechte und der Sicherheit beim Bau und Betrieb von Atomanlagen',Initiative populaire 'pour la sauvegarde des droits populaires et de la sécutité lors de la constructions et de l'exploitation d'installations atomiques',Iniziativa popolare 'per la salvaguardia dei diritti popolari e della sicurezza nella costruzione e nell'esercizio degli impianti nucleari',31,110,,2,33,,None,3867603,5196,1917562,29400,1755,920480,965927,9,14,none,,,0,,0,Initiative (Formulated Draft),123779,,Initiativkomitee zur Wahrung der Volksrechte und der Sicherheit beim Bau und Betrieb von AtomanlagenSecretariat du comité d'initiative pour la sauvegarde des droits populaires et de la sécurité lors de la construction et de l'exploitation d'installations atomiques,,Nuclear energy | Environmental policy | Citizens' rights,49.58,1886407,48.8,51.2,no,
127,Country,Switzerland,287,1978-05-28,Citizen's initiative 'Twelve Sundays a year without motor traffic',Volksinitiative 'Für 12 motorfahrzeugfreie und motorflugzeugfreie Sonntage pro Jahr',Initiative populaire 'pour douze dimanches par année sans véhicules à moteur ni avions',,14,121,,1,30,,None,3835650,4315,1884357,13624,1367,678162,1191204,,22,none,,,,,,Initiative (Formulated Draft),115673,,Burgdorfer InitiativeComité d'initiative  Burgdorfer Initiative,,Road transport | Environmental policy | none,49.13,1869366,36.28,63.72,no,
128,Country,Switzerland,279,1978-02-26,"Citizen's initiative ""Enhancing parliamentary and popular participation in decision-making on matters of highway construction""",Volksinitiative 'Demokratie im Nationalstrassenbau',Initiative populaire 'Démocratie dans la construction des routes nationales',Iniziativa popolare 'Democrazia nella costruzione delle strade nazionali',0,146,,0,37,,None,3821750,3751,1842057,41857,2107,696501,1104292,,22,none,,,0,,0,Initiative (Formulated Draft),67817,,Demokratie im NationalstrassenbauDémocratie dans la construction des routes nationales,,Road construction | Protection of nature and cultural heritage | Referendum,48.54,1800793,38.68,61.32,no,
129,Country,Switzerland,281,1978-02-26,"Citizen's initiative ""On lowering retirement age""",Volksinitiative 'zur Herabsetzung des AHV-Alters',Initiative populaire 'visant à abaisser l'âge donnant droit aux prestations de l'AVS',Iniziativa popolare 'per la diminuzione dell'età conferente il diritto alle prestazioni AVS',1,139,,0,34,,None,3821750,3751,1847239,17191,1811,377017,1451220,,22,none,,,0,,0,Initiative (Formulated Draft),56350,,Progressive Organisationen der Schweiz (POCH)Organisations progessistes de Suisse (POCH),,Pension insurance | none | none,48.33,1828237,20.62,79.38,no,
130,Country,Switzerland,275,1977-12-04,"Citizen's initiative ""Higher taxes on big incomes""",Volksbegehren 'zur Steuerharmonisierung  zur stärkeren Besteuerung des Reichtums und zur Entlastung der unteren Einkommen (Reichtumsteuer-Initiative)',Initiative populaire 'en vue de l'harmonisation fiscale  d'une imposition plus forte de la richesse et du dégrèvement des bas revenus (Initiative pour l'impôt sur la richesse)',Iniziativa popolare 'per l'armonizzazione fiscale  per una più forte imposizione della ricchezza e per lo sgravio dei redditi bassi (Iniziativa per un'imposta sulla ricchezza)',49,93,,3,31,,None,3816824,3717,1461486,22090,1264,637994,800138,2.5,19.5,none,,,0,,0,Initiative (Formulated Draft),80190,,Sozialdemokratische Partei der SchweizParti socialiste suisse,,Direct taxation | none | none,38.29,1438132,44.36,55.64,no,
131,Country,Switzerland,270,1977-09-25,"Citizen's initiative ""For effective protection of tenants""",Bundesbeschluss vom 25.03.1977 über die Volksinitiative 'für einen wirksamen Mieterschutz',Arrêté fédéral du 25.03.1977 concernant l'initiative populaire 'pour une protection efficace des locataires',Decreto federale del 25.03.1977 concernente l'iniziativa popolare 'per un'efficace protezione dei locatari',28,114,,3,34,,None,3811426,3430,1966181,58757,20990,796825,1043798,3.5,18.5,linked,"Counter proposal to the citizen's initiative ""For effective protection of tenants""",45811,0,,0,Initiative (Formulated Draft),142190,,Aktionskomitee für einen wirksamen MieterschutzComité suisse d'action pour une protection efficace des locataires,,Tenancy issues | none | none,51.59,1886434,43.29,56.71,no,
132,Country,Switzerland,271,1977-09-25,"Citizen's initiative ""Against air pollution from motor vehicles (Albatross initiative)""",Volksinitiative 'gegen die Luftverschmutzung durch Motorfahrzeuge',Initiative populaire 'contre la pollution atmosphérique causée par les véhicules à moteur',Iniziativa popolare 'contro l'inquinamento atmosferico cagionato dai veicoli a motore',12,110,,0,34,,None,3811426,3430,1969501,68519,2772,740842,1157368,1.5,20.5,none,,,0,,0,Initiative (Formulated Draft),53121,,Arbeitsgruppe saubere SchweizComité de travail pour une Suisse propre,,Air quality control | Road transport | none,51.36,1898210,39.03,60.97,no,
133,Country,Switzerland,274,1977-09-25,"Citizen's initiative ""Decriminalising abortion""",Volksinitiative 'für die Fristenlösung',Initiative populaire 'pour la solution du délai',Iniziativa popolare 'per la soluzione dei termini',,,,,,,None,3811426,3430,1979163,51680,3228,929325,994930,7,15,none,,,0,,0,Initiative (Formulated Draft),67769,,Schweizerische Vereinigung für straflosen SchwangerschaftsabbruchUnion suisse pour décriminaliser l'avortement,,Status of women | Criminal law | none,51.93,1924255,48.3,51.7,no,
134,Country,Switzerland,265,1977-03-13,"Citizen's initiative ""Reduction of number of foreigners (No. 4)""",Republikanische Volksbegehren 'zum Schutze der Schweiz' (4. Ueberfremdungsinitiative),Initiative populaire du Parti républicain 'pour la protection de la Suisse' (4e initiative contre l'emprise étrangère),Inizativa popolare del Partito repubblicano 'per la protezione della Svizzera' (Quarta iniziativa contro l'inforestierimento),4,148,,0,33,,None,3785693,2272,1711055,29949,2382,495904,1182820,,22,none,,,0,,0,Initiative (Formulated Draft),52932,,Schweizerische Republikanische BewegungMouvement national d'action républicaine et sociale,,Immigration policy | none | none,45.2,1678724,29.54,70.46,no,
